playlist_genre,danceability,energy,valence,liveness,speechiness,acousticness,track_popularity,track_name,track_artist
rock,0.623,0.449,0.573,0.0613,0.0253,0.212,75,Free Fallin',Tom Petty
rock,0.389,0.476,0.566,0.255,0.0316,0.619,73,No Rain,Blind Melon
rock,0.526,0.978,0.451,0.0744,0.108,0.00122,72,Panama - 2015 Remaster,Van Halen
rock,0.297,0.842,0.586,0.0848,0.0488,0.000286,72,Would? (2022 Remaster),Alice In Chains
rock,0.27,0.944,0.606,0.116,0.0975,0.00501,70,Born to Run,Bruce Springsteen
hip-hop,0.505,0.812,0.664,0.444,0.461,0.285,88,"Sticky (feat. GloRilla, Sexyy Red & Lil Wayne)","Tyler, The Creator, GloRilla, Sexyy Red, Lil Wayne"
hip-hop,0.872,0.507,0.506,0.111,0.072,0.195,76,HIM ALL ALONG,Gunna
hip-hop,0.835,0.802,0.374,0.0882,0.243,0.0311,71,Leave Me Alone,BigXthaPlug
hip-hop,0.794,0.533,0.15,0.207,0.0591,0.14,73,PLUTOSKI,Future
hip-hop,0.769,0.722,0.57,0.111,0.0507,0.0584,92,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti"
hip-hop,0.832,0.684,0.68,0.229,0.359,0.00449,78,WHATCHU KNO ABOUT ME (feat. Sexyy Red),"GloRilla, Sexyy Red"
hip-hop,0.65,0.642,0.186,0.0855,0.04,0.00502,70,Insecurities,Lil Baby
hip-hop,0.92,0.699,0.484,0.0745,0.358,0.00768,72,Gang Baby,NLE Choppa
hip-hop,0.757,0.628,0.321,0.221,0.101,0.189,85,NEW DROP,Don Toliver
hip-hop,0.749,0.709,0.564,0.329,0.259,0.155,73,Help Me,Real Boston Richey
hip-hop,0.853,0.69,0.471,0.0835,0.0647,0.0771,78,No Face,Drake
hip-hop,0.863,0.754,0.301,0.0913,0.0611,0.00125,77,LIL DEMON,Future
hip-hop,0.608,0.4,0.089,0.119,0.32,0.029,69,2 Slippery (feat. BossMan Dlow),"Luh Tyler, BossMan Dlow"
hip-hop,0.662,0.509,0.549,0.266,0.322,0.247,70,Sorry Not Sorry,"Lil Yachty, Veeze"
hip-hop,0.76,0.663,0.209,0.305,0.0551,0.109,81,ALL RED,Playboi Carti
hip-hop,0.649,0.761,0.313,0.207,0.152,0.00694,73,I CAN’T LET GO,"Lil Tecca, Don Toliver"
hip-hop,0.672,0.663,0.381,0.134,0.243,0.112,76,Chill Bae,Lil Uzi Vert
hip-hop,0.884,0.681,0.324,0.277,0.149,0.0439,69,2:00 AM,BigXthaPlug
hip-hop,0.783,0.723,0.294,0.159,0.135,0.0264,76,It's Up (feat. Young Thug & 21 Savage),"Drake, Young Thug, 21 Savage"
hip-hop,0.652,0.831,0.648,0.269,0.264,0.0111,68,The Viper,BabyChiefDoit
hip-hop,0.776,0.525,0.467,0.108,0.137,0.0366,70,Brokey,Latto
hip-hop,0.427,0.5,0.269,0.127,0.141,0.286,76,25,Rod Wave
hip-hop,0.731,0.586,0.147,0.0987,0.172,0.116,77,Or What,"NLE Choppa, 41, Kyle Richh"
hip-hop,0.64,0.552,0.112,0.119,0.129,0.0215,84,Type Shit,"Future, Metro Boomin, Travis Scott, Playboi Carti"
hip-hop,0.898,0.472,0.214,0.141,0.0776,0.0107,88,Not Like Us,Kendrick Lamar
hip-hop,0.77,0.859,0.64,0.673,0.275,0.362,85,Thought I Was Dead (feat. ScHoolboy Q & Santigold),"Tyler, The Creator, ScHoolboy Q, Santigold"
hip-hop,0.731,0.685,0.458,0.0865,0.12,0.054,72,FIELD TRIP,"¥$, Playboi Carti, Don Toliver, Kodak Black"
hip-hop,0.916,0.578,0.192,0.113,0.124,0.00349,74,TEFLON DON,Future
hip-hop,0.694,0.574,0.286,0.082,0.0483,0.193,79,Circadian Rhythm,Drake
hip-hop,0.902,0.867,0.799,0.142,0.225,0.0678,68,The Largest,BigXthaPlug
hip-hop,0.637,0.692,0.427,0.345,0.164,0.0153,73,Light Year (Practice),Lil Uzi Vert
hip-hop,0.675,0.478,0.39,0.127,0.512,0.0731,69,Blow for Blow (feat. J. Cole),"Tee Grizzley, J. Cole"
hip-hop,0.661,0.878,0.514,0.381,0.31,0.00289,87,Rah Tah Tah,"Tyler, The Creator"
hip-hop,0.726,0.396,0.413,0.527,0.283,0.269,73,Both Ways,Juice WRLD
hip-hop,0.974,0.711,0.328,0.0888,0.194,0.0988,72,NISSAN ALTIMA,Doechii
hip-hop,0.824,0.527,0.212,0.368,0.118,0.149,74,Tailor Swif,A$AP Rocky
