playlist_genre,track_popularity
pop,27
pop,35
pop,28
pop,11
pop,29
pop,28
pop,48
pop,20
pop,32
pop,33
pop,30
pop,13
pop,21
pop,21
pop,47
pop,25
pop,47
pop,19
pop,36
pop,14
pop,17
pop,11
pop,17
pop,23
pop,11
pop,38
pop,23
pop,25
pop,12
pop,29
pop,15
pop,65
pop,29
pop,29
pop,12
pop,11
pop,15
pop,41
pop,34
pop,28
pop,27
pop,12
pop,17
pop,14
pop,20
pop,21
pop,22
pop,44
pop,13
pop,37
pop,11
pop,28
pop,34
pop,36
pop,24
pop,13
pop,14
pop,14
